neutral,maskulinum,femininum,inkl_Doppelpunkt,inkl_Unterstrich,inkl_Sternchen,inkl_Schrägstrich,inkl_Grossbuchstaben
Wanja ist auf Reisen immer eine abenteuerliebende Person,Wanja ist auf Reisen immer ein Abenteurer,Wanja ist auf Reisen immer eine Abenteurin,Wanja ist auf Reisen immer ein:e Abenteur:in,Wanja ist auf Reisen immer ein_e Abenteur_in,Wanja ist auf Reisen immer ein*e Abenteur*in,Wanja ist auf Reisen immer ein/e Abenteur/in,Wanja ist auf Reisen immer einE AbenteurIn
Die abgeordnete Person für die Antidiskriminierungsstelle ist gerade angekommen,Der Abgeordnete für die Antidiskriminierungsstelle ist gerade angekommen,Die Abgeordnete für die Antidiskriminierungsstelle ist gerade angekommen,Dier abgeordnete Person für die Antidiskriminierungsstelle ist gerade angekommen,Dier abgeordnete Person für die Antidiskriminierungsstelle ist gerade angekommen,Dier abgeordnete Person für die Antidiskriminierungsstelle ist gerade angekommen,Dier abgeordnete Person für die Antidiskriminierungsstelle ist gerade angekommen,Dier abgeordnete Person für die Antidiskriminierungsstelle ist gerade angekommen
Thapelo ist eine Abitur ablegende Person,Thapelo ist ein Abiturient,Thapelo ist eine Abiturientin,Thapelo ist ein:e Abiturient:in,Thapelo ist ein_e Abiturient_in,Thapelo ist ein*e Abiturient*in,Thapelo ist ein/e Abiturient/in,Thapelo ist einE AbiturientIn.
"Wir haben eine super abnehmende Person gefunden, seitdem verkauft sich alles besser","Wir haben einen super Abnehmer gefunden, seitdem verkauft sich alles besser","Wir haben eine super Abnehmerin gefunden, seitdem verkauft sich alles besser","Wir haben eine:n super Abnehmer:in gefunden, seitdem verkauft sich alles besser","Wir haben eine_n super Abnehmer_in gefunden, seitdem verkauft sich alles besser","Wir haben eine*n super Abnehmer*in gefunden, seitdem verkauft sich alles besser","Wir haben eine/n super Abnehmer/in gefunden, seitdem verkauft sich alles besser","Wir haben eineN super AbnehmerIn gefunden, seitdem verkauft sich alles besser."
Missymagazin sucht eine Abonnement beziehende Person,Missymagazin sucht einen Abonnent,Missymagazin sucht eine Abonnentin,Missymagazin sucht eine:n Abonnent:in,Missymagazin sucht eine_n Abonnent_in,Missymagazin sucht eine*n Abonnent*in,Missymagazin sucht eine/n Abonnent/in,Missymagazin sucht eineN AbonnentIn.
Influencende haben ganz viele Abonnement-Beziehende,Influencer haben ganz viele Abonnenten,Influencerinnen haben ganz viele Abonnentinnen,Influencer:innen haben ganz viele Abonnent:innen,Influencer_innen haben ganz viele Abonnent_innen,Influencer*innen haben ganz viele Abonnent*innen,Influencer/innen haben ganz viele Abonnent/innen,InfluencerInnen haben ganz viele AbonnentInnen.
Dieser Brief wurde abgesandt durch Katharinal Patil,Dieser Brief hat als Absender Katharinal Patil,Dieser Brief hat als Absenderin Katharinal Patil,Dieser Brief hat als Absender:in Katharinal Patil,Dieser Brief hat als Absender_in Katharinal Patil,Dieser Brief hat als Absender*in Katharinal Patil,Dieser Brief hat als Absender/in Katharinal Patil,Dieser Brief hat als AbsenderIn Katharinal Patil
Wir haben eine große anzahl an Alumni.,Wir haben eine große Anzahl an Absolventen ,Wir haben eine große Anzahl an Absolventinnen,Wir haben eine große Anzahl an Absolvent:innen,Wir haben eine große Anzahl an Absolvent_innen,Wir haben eine große Anzahl an Absolvent*innen,Wir haben eine große Anzahl an Absolvent/innen,Wir haben eine große Anzahl an AbsolventInnen
Die Abteilungsleitung hat uns allen einen Termin reingesetzt,Der Abteilungsleiter hat uns alle einen Termin reingesetzt,Die Abteilungsleiterin hat uns allen einen Termin reingesetzt,Dier Abteilungsleiter:in hat uns allen einen Termin reingesetzt,Dier Abteilungsleiter_in hat uns allen einen Termin reingesetzt,Dier Abteilungsleiter*in hat uns allen einen Termin reingesetzt,Dier Abteilungsleiter/in hat uns allen einen Termin reingesetzt,Dier AbteilungsleiterIn hat uns allen einen Termin reingesetzt
Ich bin die Abteilungsleitung.,Ich bin der Abteilungsleiter.,Ich bin die Abteilungsleiterin.,Ich bin dier Abteilungsleiter:in.,Ich bin dier Abteilungsleiter_in.,Ich bin dier Abteilungsleiter*in.,Ich bin dier Abteilungsleiter/in.,Ich bin dier AbteilungsleiterIn.
