neutral,maskulinum,femininum,inkl_Doppelpunkt ,inkl_Unterstrich,inkl_Sternchen,inkl_Schrägstrich,inkl_Grossbuchstaben
 1000-Personen-Quote, 1000-Mann-Quote, 1000-Frau-Quote, 1000-Frau-Quote, 1000-Frau-Quote, 1000-Frau-Quote, 1000-Frau-Quote, 1000-Frau-Quote
 2000 gemeldete Personen/km2, 2000 Einwohner/km2, 2000 Einwohnerin/km2, 2000 Einwohner:in/km2, 2000 Einwohner_in/km2, 2000 Einwohner*in/km2, 2000 Einwohner/in/km2, 2000 EinwohnerIn/km2
 3. spielende Person, 3. Mann [beim Skat], 3. Frau [beim Skat], 3. Frau [beim Skat], 3. Frau [beim Skat], 3. Frau [beim Skat], 3. Frau [beim Skat], 3. Frau [beim Skat]
alle an Bord!, alle Mann an Bord!, alle Frauen an Bord!, alle Frauen an Bord!, alle Frauen an Bord!, alle Frauen an Bord!, alle Frauen an Bord!, alle Frauen an Bord!
"Alle Vereinsangehörigen,  Vereinszugehörigen sind zur Hauptversammlung einladen., Als Teil des Vereins sind, Sie zur Hauptversammlung eingeladen.", Alle Vereinsmitglieder sind zur Hauptversammlung eingeladen., Alle Vereinsmitgliederinnen sind zur Hauptversammlung eingeladen., Alle Vereinsmitgliederinnen sind zur Hauptversammlung e:ingeladen., Alle Vereinsmitgliederinnen sind zur Hauptversammlung e_ingeladen., Alle Vereinsmitgliederinnen sind zur Hauptversammlung e*ingeladen., Alle Vereinsmitgliederinnen sind zur Hauptversammlung e/ingeladen., Alle Vereinsmitgliederinnen sind zur Hauptversammlung eIngeladen.
Das Wahlergebnis macht den Unmut aller die zur Wahl gegangen sind über die aktuelle Regierung deutlich., Am Wahlsonntag äußerten die Wähler ihren Unmut über die aktülle Regierung., Am Wahlsonntag äußerten die Wählerinnen ihren Unmut über die aktülle Regierung., Am Wahlsonntag äußerten die Wähler:innen ihren Unmut über die aktülle Regierung., Am Wahlsonntag äußerten die Wähler_innen ihren Unmut über die aktülle Regierung., Am Wahlsonntag äußerten die Wähler*innen ihren Unmut über die aktülle Regierung., Am Wahlsonntag äußerten die Wähler/innen ihren Unmut über die aktülle Regierung., Am Wahlsonntag äußerten die WählerInnen ihren Unmut über die aktülle Regierung.
 An die werten lesenden Personen, An den werten Leser, An den werten Leserin, An den werten Leser:in, An den werten Leser_in, An den werten Leser*in, An den werten Leser/in, An den werten LeserIn
An der Oper singen 30 Personen hauptberuflich., An der Oper arbeiten 30 hauptberufliche Sänger., An der Oper arbeiten 30 hauptberufliche Sängerinnen., An der Oper arbeiten 30 hauptberufliche Sänger:innen., An der Oper arbeiten 30 hauptberufliche Sänger_innen., An der Oper arbeiten 30 hauptberufliche Sänger*innen., An der Oper arbeiten 30 hauptberufliche Sänger/innen., An der Oper arbeiten 30 hauptberufliche SängerInnen.
privat- oder schulärztliche Anmeldung," Anmeldung beim Schul-, Haus- oder Kinderarzt"," Anmeldung beim Schul-, Haus- oder Kinderärztin"," Anmeldung beim Schul-, Haus- oder Kinderärzt:in"," Anmeldung beim Schul-, Haus- oder Kinderärzt_in"," Anmeldung beim Schul-, Haus- oder Kinderärzt*in"," Anmeldung beim Schul-, Haus- oder Kinderärzt/in"," Anmeldung beim Schul-, Haus- oder KinderärztIn"
" Anna Mayer oder Simon Schmidt, -wer belegt den ersten Platz der Deutschen Meisterschaft?", Anna Meyer oder Simon Schmidt - wer wird Deutscher Meister?, Anna Meyer oder Simon Schmidt - wer wird Deutscher Meisterin?, Anna Meyer oder Simon Schmidt - wer wird Deutscher Meister:in?, Anna Meyer oder Simon Schmidt - wer wird Deutscher Meister_in?, Anna Meyer oder Simon Schmidt - wer wird Deutscher Meister*in?, Anna Meyer oder Simon Schmidt - wer wird Deutscher Meister/in?, Anna Meyer oder Simon Schmidt - wer wird Deutscher MeisterIn?
"Anna und Peter arbeiten in derselben Firma, Anna und Peter arbeiten in einem Team, Anna und Peter sind Teammitglieder, Anna und Peter kennen sich von der Arbeit.", Anna und Peter sind Arbeitskollegen., Anna und Peter sind Arbeitskolleginnen., Anna und Peter sind Arbeitskolleg:innen., Anna und Peter sind Arbeitskolleg_innen., Anna und Peter sind Arbeitskolleg*innen., Anna und Peter sind Arbeitskolleg/innen., Anna und Peter sind ArbeitskollegInnen.
